Year,Total,Deposits held,Advances received,Borrowing,Unfunded superannuation liability and other employee entitlements,Other provisions,Other non-equity liabilities
2004-05,9926,338,549,1315,7023,0,701
2005-06,10111,369,536,1026,7009,0,1171
2006-07,10234,286,523,996,7133,0,1297
2007-08,10954,326,510,1046,7644,0,1429
2008-09,13460,391,496,1847,9173,0,1553
2009-10,16946,683,482,4315,9562,0,1903
2010-11,18388,384,468,5577,9838,12,2109
2011-12,24099,528,454,8871,11758,0,2488
2012-13,25513,362,439,11104,11072,2,2535
2013-14,25723,522,438,11362,11061,20,2321
