Item,Financial assets,Cash and deposits,Advances paid,"Investments, loans and placements",Other non-equity assets,Equity,Non-financial assets,Land and fixed assets,Other non-financial assets
2004-05,24180,350,934,1916,1086,19894,35964,35864,100
2005-06,27659,378,910,3380,1117,21874,40398,40187,211
2006-07,34382,394,840,3287,1295,28566,51574,51279,295
2007-08,39160,497,824,3970,1972,31897,64692,64357,336
2008-09,51281,380,804,4168,1763,44167,69639,69259,380
2009-10,55489,586,796,5174,2311,46621,69647,69222,426
2010-11,56779,698,782,4713,2744,47843,74156,73715,441
2011-12,59641,840,763,6200,2830,49008,76290,75891,400
2012-13,60950,688,753,5722,3217,50570,77905,77441,464
2013-14,61281,692,752,3904,3476,52456,81620,81186,434
parent,,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,,Non-financial assets,Non-financial assets
