Item,Total,Taxation revenue,Current grants and subsidies,Sales of goods and services,Interest income,Other revenue
2004-05,14222,4328,6540,968,142,2245
2005-06,16207,5210,6966,1100,170,2761
2006-07,17451,5736,7234,1211,246,3023
2007-08,19282,6360,7800,1378,332,3411
2008-09,19400,5521,8089,1387,285,4117
2009-10,21914,6254,8228,1587,227,5619
2010-11,23669,6610,8003,1683,321,7051
2011-12,25094,7125,8678,1856,304,7132
2012-13,25469,8170,8316,2011,254,6718
2013-14,27685,8594,8199,2078,194,8620
