Item,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,parent
General public services,263,281,350,256,369,385,241,297,411,353,
Defence,0,0,0,0,0,0,0,0,0,0,
Public order and safety,1423,1598,1788,1977,2187,2456,2716,3013,2940,3088,
Education,3743,3815,3991,4359,4884,5650,5699,5870,6154,6451,
Primary and secondary,3066,3179,3341,3621,4088,4719,4678,4759,4955,5195,Education
University,115,56,23,23,24,29,22,15,17,17,Education
Technical and further education,348,345,374,401,457,510,547,577,618,624,Education
Other tertiary,0,0,0,0,0,0,0,0,0,0,Education
Other education,213,235,253,314,315,392,452,518,565,615,Education
Health,3196,3527,3721,4200,4722,5028,5546,6268,6903,7336,
Acute care institutions,2117,2269,2493,2817,3176,3271,3608,4130,4650,4986,Health
Other health institutions,105,116,131,135,156,161,188,201,156,153,Health
Community health services,525,593,537,610,698,783,868,923,1035,1029,Health
Pharmaceutical,172,245,218,296,332,421,461,517,531,542,Health
Other health,278,305,342,342,359,392,421,496,531,626,Health
